RESOLUTION 10.0
N-STATES 15
TABLE
NAME rmap15
TYPE states-table
SIZE 36 36
  4   4   4   4   4   7   7   7   7  10  10  10  10  10  10  15  15  15  15  15  15  15  15  14  14  14  14  14  14  14  14  14  14  14  14  14
  5   5   5   5   5   8   8   8   8  11  11  11  11  11  11  15  15  15  15  15  15  15  15  14  14  14  14  14  14  14  14  14  14  14  14  14
  5   5   5   5   5   8   8   8   8  11  11  11  11  11  11  15  15  15  15  15  15  15  15  14  14  14  14  14  14  14  14  14  14  14  14   5
  5   5   5   5   5   8   8   8   8  11  11  11  11  11  11  11  15  15  15  15  15  15  15  14  14  14  14  14  14  14  14  14  14  14  14   5 
  5   5   5   5   5   8   8   8   8  11  11  11  11  11  11  11  15  15  15  15  15  15  15  14  14  14  14  14  14  14  14  14  14  14  14   5
  5   5   5   5   5   8   8   8   8  11  11  11  11  11  11  11  15  15  15  15  15  15  15  14  14  14  14  14  14  14  14  14  14  14  14   5 
  5   5   5   5   5   8   8   8   8  11  11  11  11  11  11  11  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15   5
  6   6   6   6   6   9   9   9   9  12  12  12  12  12  12  12  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15   6 
  6   6   6   6   6   9   9   9   9  12  12  12  12  12  12  12  15  15  15  15  15  15  15  13  13  15  15  15  15  15  15  15  15  15  15   6
  6   6   6   6   6   9   9   9   9  12  12  12  12  12  15  15  15  15  15  15  13  13  13  13  15  15  15  15  15  15  15  15  15  15  15  15
  6   6   6   6   6   9   9   9   9  12  12  12  12  12  15  15  15  15  15  15  13  13  13  13  15  15  15  15  15  15  15  15  15  15  15  15 
  6   6   6   6   6   9   9   9   9  12  12  12  12  12  15  15  15  15  15  15  15  13  13  13  15  15  15  15  15  15  15  15  15  15  15  15 
  6   6   6   6   6   9   9   9   9  12  12  12  12  12  15  15  15  15  15  15  13  13  13  13  13  13  15  15  15  15  15  15  15  15  15  15 
 15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  13  13  13  13  13  13  15  15  15  15  15  15  15  15  15  15 
 15  15  15  15  15  15   1   1  15  15  15  15  15  15  15  15  15  15  15  15  15  13  13  13  13  13  13  13  15  15  15  15  15  15  15  15 
 15  15  15  15  15  15   1   1  15  15  15  15  15  15  15  15  15  15  15  15  15  13  13  13  13  13  13  13  15  15  15  15  15  15  15  15 
 15  15  15  15  15   1   1   1   1   1  15  15  15  15  15  15  15  15  15  15  15  15  13  13  13  13  13  13  13  15  15  15  15  15  15  15 
 15  15  15  15  15   1   1   1   1   1   1  15  15  15  15  15  15  15  15  15  15  15  15  13  13  13  13  13  13  13  15  15  15  15  15  15 
 15  15  15  15  15   2   2   2   2   2   2   2  15  15  15  15  15  15  15  15  15  15  13  13  13  13  13  13  13  13  13  15  15  15  15  15 
 15  15  15  15  15  15   2   2   2   2   2   2   2  15  15  15  15  15  15  15  15  15  15  15  13  13  13  13  13  13  13  15  15  15  15  15 
 15  15  15  15  15  15   2   2   2   2   2   2   2   2  15  15  15  15  15  15  15  15  15  15  13  13  13  13  13  13  13  13  15  15  15  15 
 15  15  15  15  15  15  15   3   3   3   3   3   3   3  15  15  15  15  15  15  15  15  15  15  15  13  13  13  13  15  15  15  15  15  15  15 
 15  15  15  15  15  15  15  15   3   3   3   3   3   3   3  15  15  15  15  15  15  15  15  15  15  13  13  13  15  15  15  15  15  15  15  15 
 15  15  15  15  15  15  15  15  15   3   3   3   3   3   3  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15 
 15  15  15  15  15  15  15  15  15  15  15   3   3   3   3  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15 
 15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15 
 15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15 
 15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15 
 15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15 
 15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15 
 15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  14  14  14  14  14  14  14  14  14  14  14  14  14 
 15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  15  14  14  14  14  14  14  14  14  14  14  14  14  14 
  4   4   4   4   4   7   7   7   7  10  10  10  10  10  10  15  15  15  15  15  15  15  15  14  14  14  14  14  14  14  14  14  14  14  14  14 
  4   4   4   4   4   7   7   7   7  10  10  10  10  10  10  15  15  15  15  15  15  15  15  14  14  14  14  14  14  14  14  14  14  14  14  14 
  4   4   4   4   4   7   7   7   7  10  10  10  10  10  10  15  15  15  15  15  15  15  15  14  14  14  14  14  14  14  14  14  14  14  14  14 
  4   4   4   4   4   7   7   7   7  10  10  10  10  10  10  15  15  15  15  15  15  15  15  14  14  14  14  14  14  14  14  14  14  14  14  14 
TABLE
NAME rmap15-counts
TYPE counts
SIZE  20 15
	AA	1	   2          3           4          5          6          7          8           9          10        11         12         13          14        15        
         A      1005       6116      21486        434       4106        339        184       3356        498        182       6150        487        584         95        940 
         R      1012       3398      10465        209       2614        223        168       3372        507         79       3021        278        671         51        825 
         N      2443       3187       5088        597       1282        763        344       2151       1230        285       2487        780       2860         54       1232 
         D      2698       4788       9230        648       1179        751        440       2256       1650        526       4384       1312       1621        121       1279 
         C       306        927       1984        220        954        145         83       1492        256         45       1077        111        182         18        301 
         Q       796       2928       8441        106       1691        192        128       2424        415         64       2138        204        559         28        580 
         E       984       5515      16162        158       2321        230        146       3590        536        113       3964        320        630         66        929 
         G       931       2476       5682       1617       1508         71       1322       1318        144       1169       1949        180      13617       7400       2561 
         H       795       1602       3376        199       1452        247         91       1648        432         49       1432        192        538         31        587 
         I       569       1942      10876        123       2785        168        151       9375       1176         36       3190        279         30         14        720 
         L      1646       6154      19968        108       2422        247        260       9220       1180        122       5926        534        381         45        914 
         K      1146       4726      12508        153       2485        217        196       4131        566        106       3865        338        988         78       1042 
         M       377       1372       4399         89       1167         88         66       1513        237         23       1207        141        163         15        238 
         F      1036       2110       6637        309       2934        243        133       4231        748         40       2332        241        359         29        631 
         P       395       4782       5164          2          7          1         61        177         22        700      13260        637          5          7        455 
         S      1191       6246       7790        966       4156        314        455       3493        397        521       5035        256        606        144       1110 
         T      1615       4376       7469        878       3602        168        847       6159        400        373       3581        143        124         48       1198 
         W       287        994       2658        115        835         85         42       1283        189         22        981        108        101          6        187 
         Y      1018       1893       5706        287       2697        213        116       3900        600         47       2085        204        377         30        645 
         V       593       2458      11957        241       4842        233        231      12160       1257         35       4046        319         60         20       1015 
TABLE
NAME rmap15-propensities
TYPE propensities
SIZE  20 15
	AA	1	   2          3           4          5          6          7          8           9          10        11         12         13          14        15        
         A   0.57943    1.08098    1.45836   0.699204    1.09553    0.82498   0.404671   0.522064   0.481065   0.482056    1.02488   0.828463   0.286961   0.137544   0.649603 
         R  0.997183    1.02644    1.21397   0.575467    1.19199   0.927488   0.631471   0.896498   0.837032   0.357613   0.860419   0.808256   0.563497   0.126196   0.974393 
         N   2.61218    1.04467   0.640473    1.78375   0.634365    3.44361     1.4031   0.620565    2.20356    1.39996   0.768635    2.46084    2.60628   0.144996    1.57898 
         D   2.17422    1.18286   0.875665    1.45921   0.439691    2.55453    1.35258   0.490534    2.22785    1.94733    1.02117    3.11965    1.11332   0.244867    1.23543 
         C   1.00096   0.929587   0.764031    2.01093    1.44416    2.00204    1.03567    1.31683    1.40306   0.676237     1.0183    1.07134   0.507389    0.14786    1.18018 
         Q    1.0193    1.14941     1.2725   0.379293    1.00208    1.03777   0.625243   0.837508   0.890384   0.376496   0.791337   0.770777   0.610065  0.0900387   0.890231 
         E  0.731137    1.25622    1.41375    0.32805   0.798087   0.721341   0.413815   0.719723    0.66728   0.385721   0.851338   0.701557    0.39895   0.123149    0.82738 
         G   0.58817   0.479534   0.422599    2.85459   0.440886   0.189331    3.18592   0.224665   0.152425    3.39281   0.355902   0.335533    7.33179      11.74    1.93932 
         H   1.66261    1.02707   0.831188    1.16294    1.40527    2.18036   0.725962   0.929924    1.51372   0.470772   0.865627    1.18477   0.958914   0.162805    1.47145 
         I  0.479674   0.501878    1.07939   0.289747     1.0865   0.597795    0.48558    2.13242    1.66104   0.139421   0.777301   0.693981       0.03       0.03   0.727532 
         L  0.887858    1.01762    1.26801   0.162786   0.604587   0.562367   0.534978    1.34187    1.06644   0.302318   0.923932   0.849893   0.175151  0.0609548   0.590943 
         K  0.933113    1.17966    1.19898   0.348113    0.93637   0.745793   0.608772   0.907553   0.772157   0.396503   0.909628   0.812037   0.685616   0.159487    1.01696 
         M  0.900425    1.00456     1.2369   0.593986    1.28988   0.887152   0.601312   0.975018   0.948407   0.252363   0.833256   0.993654   0.331794  0.0899663   0.681348 
         F   1.24714   0.778668    0.94059    1.03942     1.6345    1.23472   0.610739    1.37425    1.50868   0.221211   0.811424   0.856014   0.368319  0.0876667   0.910478 
         P  0.407681    1.51303   0.627456       0.03       0.03       0.03   0.240161  0.0492906   0.038044    3.31904    3.95577    1.93987       0.03       0.03   0.562886 
         S  0.965747    1.55263   0.743641    2.18881    1.55955    1.07471    1.40738   0.764219   0.539364     1.9408    1.18009   0.612493   0.418793   0.293222    1.07885 
         T   1.38137    1.14744   0.752099    2.09852    1.42578   0.606536    2.76357     1.4214   0.573242    1.46568   0.885334   0.360897   0.090393   0.103101    1.22823 
         W  0.963548    1.02304    1.05056    1.07887    1.29733    1.20454   0.537886    1.16221    1.06315   0.339317   0.951975    1.06985   0.288993  0.0505854   0.752521 
         Y    1.3612   0.775961   0.898214    1.07235    1.66888    1.20216   0.591673    1.40704     1.3442   0.288711   0.805832   0.804847   0.429625   0.100734    1.03376 
         V  0.398157   0.505937   0.945139   0.452164    1.50451   0.660335   0.591645    2.20293    1.41408   0.107959   0.785218   0.631975  0.0343341  0.0337219   0.816867
