# dir.des.scop.txt 
# SCOP release 1.69 (July 2005)  [File format version 1.00]
# http://scop.mrc-lmb.cam.ac.uk/scop/
# Copyright (c) 1994-2005 the scop authors; see http://scop.mrc-lmb.cam.ac.uk/scop/lic/copy.html
46456	cl	a	-	All alpha proteins
46457	cf	a.1	-	Globin-like
46458	sf	a.1.1	-	Globin-like
46459	fa	a.1.1.1	-	Truncated hemoglobin
46460	dm	a.1.1.1	-	Protozoan/bacterial hemoglobin
46461	sp	a.1.1.1	-	Ciliate (Paramecium caudatum)
14982	px	a.1.1.1	d1dlwa_	1dlw A:
100068	px	a.1.1.1	d1uvya_	1uvy A:
46462	sp	a.1.1.1	-	Green alga (Chlamydomonas eugametos)
14983	px	a.1.1.1	d1dlya_	1dly A:
100067	px	a.1.1.1	d1uvxa_	1uvx A:
81667	sp	a.1.1.1	-	Cyanobacteria (Synechocystis sp.), pcc 6803
105305	px	a.1.1.1	d1s69a_	1s69 A:
105306	px	a.1.1.1	d1s6aa_	1s6a A:
97827	px	a.1.1.1	d1rtxa_	1rtx A:
79572	px	a.1.1.1	d1mwba_	1mwb A:
63437	sp	a.1.1.1	-	Mycobacterium tuberculosis, HbN
105096	px	a.1.1.1	d1rtea_	1rte A:
105097	px	a.1.1.1	d1rteb_	1rte B:
62301	px	a.1.1.1	d1idra_	1idr A:
62302	px	a.1.1.1	d1idrb_	1idr B:
105283	px	a.1.1.1	d1s61a_	1s61 A:
105284	px	a.1.1.1	d1s61b_	1s61 B:
105260	px	a.1.1.1	d1s56a_	1s56 A:
105261	px	a.1.1.1	d1s56b_	1s56 B:
88965	sp	a.1.1.1	-	Mycobacterium tuberculosis, HbO
85673	px	a.1.1.1	d1ngka_	1ngk A:
85674	px	a.1.1.1	d1ngkb_	1ngk B:
85675	px	a.1.1.1	d1ngkc_	1ngk C:
85676	px	a.1.1.1	d1ngkd_	1ngk D:
85677	px	a.1.1.1	d1ngke_	1ngk E:
85678	px	a.1.1.1	d1ngkf_	1ngk F:
85679	px	a.1.1.1	d1ngkg_	1ngk G:
85680	px	a.1.1.1	d1ngkh_	1ngk H:
85681	px	a.1.1.1	d1ngki_	1ngk I:
85682	px	a.1.1.1	d1ngkj_	1ngk J:
85683	px	a.1.1.1	d1ngkk_	1ngk K:
85684	px	a.1.1.1	d1ngkl_	1ngk L:
74660	fa	a.1.1.4	-	Nerve tissue mini-hemoglobin (neural globin)
74661	dm	a.1.1.4	-	Nerve tissue mini-hemoglobin (neural globin)
74662	sp	a.1.1.4	-	Milky ribbon-worm (Cerebratulus lacteus)
72890	px	a.1.1.4	d1kr7a_	1kr7 A:
108201	px	a.1.1.4	d1v07a_	1v07 A:
46463	fa	a.1.1.2	-	Globins
46464	dm	a.1.1.2	-	Hemoglobin I
46465	sp	a.1.1.2	-	Ark clam (Scapharca inaequivalvis)
14984	px	a.1.1.2	d3sdha_	3sdh A:
14985	px	a.1.1.2	d3sdhb_	3sdh B:
14986	px	a.1.1.2	d3hbia_	3hbi A:
14987	px	a.1.1.2	d3hbib_	3hbi B:
67865	px	a.1.1.2	d1jzla_	1jzl A:
67866	px	a.1.1.2	d1jzlb_	1jzl B:
14988	px	a.1.1.2	d4sdha_	4sdh A:
14989	px	a.1.1.2	d4sdhb_	4sdh B:
14992	px	a.1.1.2	d5hbia_	5hbi A:
14993	px	a.1.1.2	d5hbib_	5hbi B:
14994	px	a.1.1.2	d7hbia_	7hbi A:
14995	px	a.1.1.2	d7hbib_	7hbi B:
14990	px	a.1.1.2	d4hbia_	4hbi A:
14991	px	a.1.1.2	d4hbib_	4hbi B:
14996	px	a.1.1.2	d1hbia_	1hbi A:
14997	px	a.1.1.2	d1hbib_	1hbi B:
14998	px	a.1.1.2	d2hbia_	2hbi A:
14999	px	a.1.1.2	d2hbib_	2hbi B:
15000	px	a.1.1.2	d6hbia_	6hbi A:
15001	px	a.1.1.2	d6hbib_	6hbi B:
67867	px	a.1.1.2	d1jzma_	1jzm A:
67868	px	a.1.1.2	d1jzmb_	1jzm B:
92298	px	a.1.1.2	d1nxfa_	1nxf A:
92299	px	a.1.1.2	d1nxfb_	1nxf B:
15002	px	a.1.1.2	d1scta_	1sct A:
15003	px	a.1.1.2	d1sctb_	1sct B:
15004	px	a.1.1.2	d1sctc_	1sct C:
15005	px	a.1.1.2	d1sctd_	1sct D:
15006	px	a.1.1.2	d1scte_	1sct E:
15007	px	a.1.1.2	d1sctf_	1sct F:
15008	px	a.1.1.2	d1sctg_	1sct G:
15009	px	a.1.1.2	d1scth_	1sct H:
67861	px	a.1.1.2	d1jzka_	1jzk A:
67862	px	a.1.1.2	d1jzkb_	1jzk B:
67863	px	a.1.1.2	d1jzkc_	1jzk C:
67864	px	a.1.1.2	d1jzkd_	1jzk D:
67394	px	a.1.1.2	d1jwna_	1jwn A:
67395	px	a.1.1.2	d1jwnb_	1jwn B:
67396	px	a.1.1.2	d1jwnc_	1jwn C:
67397	px	a.1.1.2	d1jwnd_	1jwn D:
92237	px	a.1.1.2	d1nwia_	1nwi A:
92238	px	a.1.1.2	d1nwib_	1nwi B:
92239	px	a.1.1.2	d1nwic_	1nwi C:
92240	px	a.1.1.2	d1nwid_	1nwi D:
92243	px	a.1.1.2	d1nwna_	1nwn A:
92244	px	a.1.1.2	d1nwnb_	1nwn B:
46466	sp	a.1.1.2	-	Clam (Lucina pectinata)
15010	px	a.1.1.2	d1b0b__	1b0b -
15011	px	a.1.1.2	d1flp__	1flp -
15012	px	a.1.1.2	d1moh__	1moh -
15013	px	a.1.1.2	d1ebt__	1ebt -
63438	dm	a.1.1.2	-	Trematode hemoglobin/myoglobin
63439	sp	a.1.1.2	-	Paramphistomum epiclitum
60812	px	a.1.1.2	d1h97a_	1h97 A:
60813	px	a.1.1.2	d1h97b_	1h97 B:
72424	px	a.1.1.2	d1kfra_	1kfr A:
46467	dm	a.1.1.2	-	Glycera globin
46468	sp	a.1.1.2	-	Marine bloodworm (Glycera dibranchiata)
71726	px	a.1.1.2	d1jl7a_	1jl7 A:
71725	px	a.1.1.2	d1jl6a_	1jl6 A:
15014	px	a.1.1.2	d2hbg__	2hbg -
71643	px	a.1.1.2	d1jf4a_	1jf4 A:
71642	px	a.1.1.2	d1jf3a_	1jf3 A:
15015	px	a.1.1.2	d1hbg__	1hbg -
15017	px	a.1.1.2	d1vrea_	1vre A:
15016	px	a.1.1.2	d1vrfa_	1vrf A:
46469	dm	a.1.1.2	-	Myoglobin
46470	sp	a.1.1.2	-	Sperm whale (Physeter catodon)
15018	px	a.1.1.2	d1a6m__	1a6m -
85505	px	a.1.1.2	d1naza_	1naz A:
15019	px	a.1.1.2	d1a6k__	1a6k -
15020	px	a.1.1.2	d1bzpa_	1bzp A:
15021	px	a.1.1.2	d1a6g__	1a6g -
15024	px	a.1.1.2	d1bz6a_	1bz6 A:
15023	px	a.1.1.2	d1bzra_	1bzr A:
15022	px	a.1.1.2	d1a6n__	1a6n -
67376	px	a.1.1.2	d1jw8a_	1jw8 A:
90542	px	a.1.1.2	d1h1xa_	1h1x A:
15025	px	a.1.1.2	d1dxda_	1dxd A:
15026	px	a.1.1.2	d1dxca_	1dxc A:
15028	px	a.1.1.2	d1co9a_	1co9 A:
15049	px	a.1.1.2	d1do1a_	1do1 A:
15027	px	a.1.1.2	d1bvd__	1bvd -
15030	px	a.1.1.2	d2mbw__	2mbw -
15029	px	a.1.1.2	d1cioa_	1cio A:
15031	px	a.1.1.2	d1bvc__	1bvc -
85238	px	a.1.1.2	d1mz0a_	1mz0 A:
91495	px	a.1.1.2	d1myza_	1myz A:
73507	px	a.1.1.2	d1l2ka_	1l2k A:
15032	px	a.1.1.2	d1mbc__	1mbc -
15033	px	a.1.1.2	d1mbd__	1mbd -
15034	px	a.1.1.2	d1abs__	1abs -
15077	px	a.1.1.2	d1do3a_	1do3 A:
85477	px	a.1.1.2	d1n9xa_	1n9x A:
15036	px	a.1.1.2	d1vxh__	1vxh -
85467	px	a.1.1.2	d1n9ia_	1n9i A:
15035	px	a.1.1.2	d1yoi__	1yoi -
15038	px	a.1.1.2	d1vxf__	1vxf -
15039	px	a.1.1.2	d1cika_	1cik A:
15037	px	a.1.1.2	d1yoh__	1yoh -
91126	px	a.1.1.2	d1luea_	1lue A:
15043	px	a.1.1.2	d1vxc__	1vxc -
15041	px	a.1.1.2	d104m__	104m -
15042	px	a.1.1.2	d1vxd__	1vxd -
15040	px	a.1.1.2	d1yog__	1yog -
15044	px	a.1.1.2	d2mye__	2mye -
15046	px	a.1.1.2	d1hjt__	1hjt -
15045	px	a.1.1.2	d2spm__	2spm -
85466	px	a.1.1.2	d1n9ha_	1n9h A:
15052	px	a.1.1.2	d1mtj__	1mtj -
15050	px	a.1.1.2	d110m__	110m -
15051	px	a.1.1.2	d1f65a_	1f65 A:
15115	px	a.1.1.2	d1do4a_	1do4 A:
15061	px	a.1.1.2	d1ofk__	1ofk -
15060	px	a.1.1.2	d1ltw__	1ltw -
15059	px	a.1.1.2	d1tes__	1tes -
15058	px	a.1.1.2	d1mls__	1mls -
15057	px	a.1.1.2	d1mll__	1mll -
15056	px	a.1.1.2	d2mge__	2mge -
15047	px	a.1.1.2	d2spl__	2spl -
15054	px	a.1.1.2	d1mym__	1mym -
15053	px	a.1.1.2	d2spo__	2spo -
15048	px	a.1.1.2	d1vxg__	1vxg -
15065	px	a.1.1.2	d1ofj__	1ofj -
15063	px	a.1.1.2	d109m__	109m -
15068	px	a.1.1.2	d1ajh__	1ajh -
15055	px	a.1.1.2	d1fcs__	1fcs -
15066	px	a.1.1.2	d1vxe__	1vxe -
15067	px	a.1.1.2	d1ajg__	1ajg -
15064	px	a.1.1.2	d1ch2a_	1ch2 A:
15072	px	a.1.1.2	d1f63a_	1f63 A:
67010	px	a.1.1.2	d1jp9a_	1jp9 A:
15074	px	a.1.1.2	d1dtia_	1dti A:
15076	px	a.1.1.2	d1mcy__	1mcy -
15062	px	a.1.1.2	d1ch9a_	1ch9 A:
15075	px	a.1.1.2	d2spn__	2spn -
15073	px	a.1.1.2	d102m__	102m -
15070	px	a.1.1.2	d1swm__	1swm -
15080	px	a.1.1.2	d2mgf__	2mgf -
15079	px	a.1.1.2	d1co8a_	1co8 A:
85465	px	a.1.1.2	d1n9fa_	1n9f A:
15069	px	a.1.1.2	d2mgg__	2mgg -
15071	px	a.1.1.2	d2myd__	2myd -
15087	px	a.1.1.2	d1mlm__	1mlm -
67013	px	a.1.1.2	d1jpba_	1jpb A:
15084	px	a.1.1.2	d1jdo__	1jdo -
15081	px	a.1.1.2	d2myb__	2myb -
15078	px	a.1.1.2	d2mgd__	2mgd -
15086	px	a.1.1.2	d1mtk__	1mtk -
15085	px	a.1.1.2	d1mlo__	1mlo -
15083	px	a.1.1.2	d1ch7a_	1ch7 A:
92405	px	a.1.1.2	d1o16a_	1o16 A:
90880	px	a.1.1.2	d1j52a_	1j52 A:
15090	px	a.1.1.2	d2mgc__	2mgc -
15130	px	a.1.1.2	d1do7a_	1do7 A:
15082	px	a.1.1.2	d2myc__	2myc -
15091	px	a.1.1.2	d1obm__	1obm -
15089	px	a.1.1.2	d1mbo__	1mbo -
15093	px	a.1.1.2	d1mlu__	1mlu -
15097	px	a.1.1.2	d1mgn__	1mgn -
15088	px	a.1.1.2	d111m__	111m -
15092	px	a.1.1.2	d2mgm__	2mgm -
15095	px	a.1.1.2	d1moa__	1moa -
15096	px	a.1.1.2	d1mlr__	1mlr -
15094	px	a.1.1.2	d1ch1a_	1ch1 A:
15103	px	a.1.1.2	d1mlf__	1mlf -
15109	px	a.1.1.2	d1cp0a_	1cp0 A:
15102	px	a.1.1.2	d2mgb__	2mgb -
